reviews,rating,price_to,title,price_from,address,phone_number,categories
222,4.0,30,Daisy Cafe & Cupcakery,11,"2827 Atwood Ave Madison, WI 53704",(608) 241-2200,"Breakfast & Brunch,Bakeries,American (New)"
70,3.5,30,Dobhan’s Kitchen,11,"2110 Atwood Ave Madison, WI 53704",(608) 242-4448,"Himalayan/Nepalese,Breakfast & Brunch"
89,4.0,30,The Waypoint Public House,11,"320 W Broadway Monona, WI 53716",(608) 222-0224,"American (New),Breakfast & Brunch,Pubs"
143,3.5,10,Sunroom Cafe,0,"638 State St Madison, WI 53703",(608) 255-1555,"Breakfast & Brunch,Cafes,Salad"
66,4.0,10,Willalby’s Cafe,0,"1351 Williamson St Madison, WI 53703",(608) 259-9032,Breakfast & Brunch
134,4.0,10,Johnson Public House,0,"908 E Johnson St Madison, WI 53703",(608) 347-0483,"Coffee & Tea,Breakfast & Brunch,Pubs"
78,4.0,10,Plaka Taverna,0,"410 E Wilson St Madison, WI 53774",(608) 251-4455,"Greek,Breakfast & Brunch"
30,3.0,30,The Wise,11,"1501 Monroe St Madison, WI 53711",(608) 819-8230,"Breakfast & Brunch,Spanish,Tapas/Small Plates"
55,4.0,10,Helbachs Coffee House,0,"410 Donofrio Dr Madison, WI 53719",(608) 821-0571,"Coffee & Tea,Salad,Breakfast & Brunch"
187,4.5,10,Sophia’s Bakery & Cafe,0,"831 E Johnson St Ste 4 Madison, WI 53703",(608) 259-1506,"Breakfast & Brunch,Bakeries"
21,4.5,10,Players Sports Bar,0,"2013 Winnebago St Madison, WI 53704",(608) 244-9722,"Sports Bars,Breakfast & Brunch,American (Traditional)"
148,3.5,30,La Brioche True Food,11,"2862 University Ave Madison, WI 53705",(608) 233-3388,"Breakfast & Brunch,American (New),Pizza"
192,4.0,30,Madison Sourdough,11,"916 Williamson St Madison, WI 53703",(608) 442-8009,"Bakeries,Breakfast & Brunch"
28,4.0,10,Cafe Maya,0,"5501 Odana Rd Madison, WI 53719",(608) 709-1909,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
159,4.5,30,Manna Cafe & Bakery,11,"611 N Sherman Ave Madison, WI 53704",(608) 663-5500,"Bakeries,Breakfast & Brunch,Cafes"
4,3.5,10,Discofries,0,"615 State St Madison, WI 53703",(952) 500-8933,"Breakfast & Brunch,Donuts,Poutineries"
34,4.0,10,Parkway Family Restaurant,0,"1221 Ann St Madison, WI 53713",(608) 255-2355,"American (New),Breakfast & Brunch"
32,3.0,10,Cracker Barrel Old Country Store,0,"2147 E Springs Dr Madison, WI 53704",(608) 242-0560,"Breakfast & Brunch,American (Traditional),Southern"
88,4.0,30,Sofra Family Bistro,11,"7457 Elmwood Ave Middleton, WI 53562",(608) 836-6614,Breakfast & Brunch
92,3.5,10,Come Back In,0,"508 E Wilson St Madison, WI 53703",(608) 258-8619,"Bars,Breakfast & Brunch,American (Traditional)"
17,3.0,30,Perkins Restaurant & Bakery,11,"5237 University Ave Madison, WI 53705",(608) 238-5133,"American (Traditional),Breakfast & Brunch,Bakeries"
21,3.0,30,Perkins Restaurant & Bakery,11,"4863 Hayes Rd Madison, WI 53704",(608) 241-9123,"Bakeries,Breakfast & Brunch,American (Traditional)"
25,4.5,10,My Sister’s Kitchen,0,"2227 Parmenter St Middleton, WI 53562",(608) 831-3773,"Breakfast & Brunch,American (Traditional)"
22,3.0,10,Copper Top Restaurant,0,"5401 W Beltline Hwy Madison, WI 53711",(608) 271-4588,Breakfast & Brunch
5,3.0,30,Geier’s Grill,11,"5109 W Terrace Dr Holiday Inn Madison At The American Center Madison, WI 53718",(608) 249-4220,"Breakfast & Brunch,American (Traditional)"
16,4.0,10,Luke’s Cafe,0,"6115 US Hwy 51 McFarland, WI 53558",(608) 838-1777,"Cafes,Breakfast & Brunch"
3,4.0,10,Cafe Social,0,"102 N Bedford St Madison Wi Madison, WI 53703",(608) 305-4357,"Coffee & Tea,Cafes,Breakfast & Brunch"
73,3.5,10,Yola’s Cafe,0,"494 Commerce Dr Madison, WI 53719",(608) 827-5800,"Coffee & Tea,Breakfast & Brunch"
29,3.0,30,Perkins Restaurant & Bakery,11,"1410 Damon Rd Madison, WI 53713",(608) 251-7550,"American (Traditional),Bakeries,Breakfast & Brunch"
52,3.5,10,ZuZu Cafe & Market,0,"1336 Drake St Madison, WI 53715",(608) 260-9898,"Ice Cream & Frozen Yogurt,Coffee & Tea,Breakfast & Brunch"
73,3.5,30,Stalzy’s Deli,11,"2701 Atwood Ave Madison, WI 53704",(608) 249-7806,"Delis,Bakeries,Breakfast & Brunch"
77,3.5,30,Brocach,11,"1843 Monroe St Madison, WI 53711",(608) 819-8653,"Irish,Breakfast & Brunch"
7,5.0,10,Highland Espresso Bar,0,"45 S Bassett St Madison, WI 53703",(608) 630-9274,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
77,4.0,10,Rosie’s Coffee Bar & Bakery,0,"4604 Monona Dr Madison, WI 53716",(608) 441-7673,"Coffee & Tea,Breakfast & Brunch,Bakeries"
137,3.5,10,Gotham Bagels,0,"112 E Mifflin St Madison, WI 53704",(608) 467-7642,"Bagels,Breakfast & Brunch,Delis"
84,3.0,10,The Egg & I,0,"2501 W Beltline Hwy Ste 111 Madison, WI 53713",(608) 275-3447,"Breakfast & Brunch,Cafes,American (Traditional)"
45,3.5,10,TnT’s Coffee & Cafe,0,"729 N High Point Rd Madison, WI 53717",(608) 831-2298,"Breakfast & Brunch,Coffee & Tea,Bakeries"
36,3.5,10,Original Pancake House,0,"516 River Pl Monona, WI 53716",(608) 222-1137,Breakfast & Brunch
9,3.5,10,Denny’s,0,"1201 E Broadway Monona, WI 53716",(608) 222-8822,"Diners,American (Traditional),Breakfast & Brunch"
24,3.5,30,Prairie Cafe & Bakery,11,"3109 Pheasant Branch Rd Middleton, WI 53562",(608) 827-2437,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
7,4.0,10,Village Cafe,0,"214 W Cottage Grove Rd Cottage Grove, WI 53527",(608) 839-4141,"Breakfast & Brunch,Diners"
2,2.5,60,Badger Market,31,"1300 University Ave Medical Sciences Madison, WI 53706",(608) 263-1166,"Breakfast & Brunch,Juice Bars & Smoothies,Cafes"
41,2.5,30,Pancake Cafe,11,"724 S Gammon Rd Madison, WI 53719",(608) 819-6865,"American (Traditional),Breakfast & Brunch,Sandwiches"
17,3.0,10,Denny’s,0,"433 S Gammon Rd Madison, WI 53719",(608) 833-7070,"Diners,Breakfast & Brunch,American (Traditional)"
18,4.0,10,Olde Town Coffee House,0,"218 S Main St Cottage Grove, WI 53527",(608) 839-5394,"Coffee & Tea,Breakfast & Brunch"
21,2.0,10,IHOP,0,"4614 E Washington Ave Madison, WI 53704",(608) 240-0838,"Breakfast & Brunch,American (Traditional)"
19,3.0,10,Bruegger’s Bagels,0,"6150 Mineral Point Rd Madison, WI 53705",(608) 236-0607,"Bagels,Breakfast & Brunch,Sandwiches"
13,3.0,10,Treads,0,"407 W Verona Ave Verona, WI 53593",(608) 845-2304,"Bars,American (Traditional),Breakfast & Brunch"
6,2.5,30,Olive Lounge,11,"9 E Wilson St Hilton Madison Lobby Madison, WI 53703",(608) 255-5100,"Lounges,Breakfast & Brunch,Cocktail Bars"
10,4.0,10,Green Forest Family Restaurant,0,"909 E Broadway Monona, WI 53716",(608) 223-0886,"American (Traditional),Breakfast & Brunch,Desserts"
26,2.5,10,IHOP,0,"2825 University Ave Ste 1 Madison, WI 53705",(608) 236-4200,"Breakfast & Brunch,American (Traditional)"
47,4.5,10,Firefly Coffeehouse,0,"114 N Main St Oregon, WI 53575",(608) 835-6238,"Coffee & Tea,Bakeries,Breakfast & Brunch"
26,3.5,30,Maple Tree Supper Club,11,"6010 US Hwy 51 McFarland, WI 53558",(608) 838-5888,"American (Traditional),Breakfast & Brunch,Sandwiches"
14,2.5,10,Denny’s,0,"1798 Thierer Rd Madison, WI 53704",(608) 241-5061,"American (Traditional),Breakfast & Brunch,Diners"
20,3.5,10,Country Cafe,0,"1030 Emerald Ter Sun Prairie, WI 53590",(608) 837-5191,"Diners,Breakfast & Brunch,American (Traditional)"
16,3.5,10,Leystra’s Venture Restaurant,0,"200 Phillips Blvd Sauk City, WI 53583",(608) 643-2004,"Bakeries,Breakfast & Brunch,Soup"
6,3.0,10,Big Apple Bagels,0,"1354 N Bird St Sun Prairie, WI 53590",(608) 837-3311,"Breakfast & Brunch,Bagels,Delis"
42,4.0,30,Ray’s Family Restaurant,11,"1102 N Main St Edgerton, WI 53534",(608) 884-9866,"American (Traditional),Breakfast & Brunch,Burgers"
2,4.5,10,Mary’s Scone Shop,0,"1225 Bus Hwy Unit 18-151 Mount Horeb, WI 53572",(608) 437-0806,Breakfast & Brunch
41,3.5,30,Fitz’s On The Lake,11,"W11602 County Rd V Lodi, WI 53555",(608) 592-3302,"American (Traditional),Breakfast & Brunch,Sandwiches"
14,4.0,10,What’s Brew’n In Sun Prairie,0,"3140 Edmonton Dr Ste 100 Sun Prairie, WI 53590",(608) 834-0263,"Ice Cream & Frozen Yogurt,Coffee & Tea,Breakfast & Brunch"
69,4.0,30,Blue Spoon Cafe,11,"550 Water St Prairie Du Sac, WI 53578",(608) 643-0837,"Sandwiches,Cafes,Breakfast & Brunch"
68,4.5,30,Cow & Quince,11,"407 2nd St New Glarus, WI 53574",(608) 527-2900,Breakfast & Brunch
3,2.5,10,Cross Plains Family Restaurant,0,"23 Glacier Edge Sq Cross Plains, WI 53528",(608) 798-2340,"American (Traditional),Diners,Breakfast & Brunch"
110,3.0,30,Pancake Cafe,11,"6220 Nesbitt Rd Fitchburg, WI 53719",(608) 204-7040,Breakfast & Brunch
37,4.0,30,Schubert’s Downtown Restaurant,11,"128 E Main St Mount Horeb, WI 53572",(608) 437-3393,"Bakeries,Breakfast & Brunch"
37,4.0,10,True Coffee Roasters,0,"6250 Nesbitt Rd Fitchburg, WI 53719",(608) 663-9390,"Coffee & Tea,Breakfast & Brunch"
19,3.0,30,Coach’s Club,11,"1200 Main St Cross Plains, WI 53528",(608) 413-0400,"Sports Bars,Breakfast & Brunch,American (Traditional)"
13,4.0,10,Ancora Coffee Roasters,0,"3318 University Ave Madison, WI 53705",(608) 233-5287,"Coffee & Tea,Breakfast & Brunch"
