reviews,rating,link,title,price_to,price_from,address,phone_number,categories
214,4.5,https://www.yelp.com/biz/l-etoile-madison?osq=Restaurants,L’Etoile,6161,61,"1 S Pinckney St Madison, WI 53703",(608) 251-0500,American (New)
183,4.0,https://www.yelp.com/biz/dumplinghaus-madison?osq=Restaurants,DumplingHaus,30,11,"540 N Midvale Blvd Madison, WI 53705",(608) 661-4287,"Dim Sum,Vegan,Vegetarian"
12,4.0,https://www.yelp.com/biz/zoup-middleton?osq=Restaurants,Zoup!,10,0,"8391 Greenway Blvd Middleton, WI 53562",(608) 841-2566,"Salad,Soup,Sandwiches"
74,4.0,https://www.yelp.com/biz/a-la-brasa-mexican-grill-madison-2?osq=Restaurants,A La Brasa Mexican Grill,10,0,"15 N Broom St Madison, WI 53703",(608) 251-1700,"Latin American,Steakhouses,Mexican"
390,4.0,https://www.yelp.com/biz/dotty-dumplings-dowry-madison?osq=Restaurants,Dotty Dumpling’s Dowry,30,11,"317 N Frances St Madison, WI 53703",(608) 259-0000,"Burgers,Vegan,Vegetarian"
47,4.0,https://www.yelp.com/biz/hamiltons-on-the-square-madison?osq=Restaurants,Hamilton’s On The Square,30,11,"101 N Hamilton St Madison, WI 53703",(608) 665-3387,"American (New),American (Traditional)"
211,4.0,https://www.yelp.com/biz/cento-madison?osq=Restaurants,Cento,60,31,"122 W Mifflin St Madison, WI 53703",(608) 284-9378,"Italian,Breakfast & Brunch,Desserts"
24,3.5,https://www.yelp.com/biz/the-verona-woods-verona?osq=Restaurants,The Verona Woods,30,11,"958 Liberty Dr Ste 101 Verona, WI 53593",(608) 497-1680,American (New)
60,4.5,https://www.yelp.com/biz/good-food-madison?osq=Restaurants,Good Food,10,0,"33 E Main St Madison, WI 53703",(608) 217-5227,"Street Vendors,Sandwiches"
233,4.5,https://www.yelp.com/biz/lao-laan-xang-restaurant-madison?osq=Restaurants,Lao Laan-Xang Restaurant,30,11,"1146 Williamson St Madison, WI 53703",(608) 280-0104,Laotian
134,4.0,https://www.yelp.com/biz/osteria-papavero-madison?osq=Restaurants,Osteria Papavero,30,11,"128 E Wilson St Madison, WI 53703",(608) 255-8376,Italian
208,4.0,https://www.yelp.com/biz/forequarter-madison?osq=Restaurants,Forequarter,60,31,"708 E Johnson Madison, WI 53703",(608) 609-4717,American (New)
19,4.5,https://www.yelp.com/biz/la-kitchenette-madison?osq=Restaurants,La Kitchenette,30,11,"805 Williamson St Madison, WI 53703",(608) 283-4266,French
67,4.0,https://www.yelp.com/biz/everly-madison?osq=Restaurants,Everly,30,11,"2701 Monroe St Ste 270 Madison, WI 53711",(608) 416-5242,"Breakfast & Brunch,Vegetarian,Sandwiches"
287,4.0,https://www.yelp.com/biz/the-tipsy-cow-madison?osq=Restaurants,The Tipsy Cow,30,11,"102 King St Madison, WI 53703",(608) 287-1455,"Bars,American (Traditional)"
7,4.0,https://www.yelp.com/biz/muramoto-downtown-madison?osq=Restaurants,Muramoto Downtown,30,11,"108 King St Madison, WI 53703",(608) 255-4343,"Sushi Bars,Asian Fusion,Cocktail Bars"
424,4.0,https://www.yelp.com/biz/the-weary-traveler-freehouse-madison?osq=Restaurants,The Weary Traveler Freehouse,30,11,"1201 Williamson St Madison, WI 53703",(608) 442-6207,"American (New),Burgers"
147,4.5,https://www.yelp.com/biz/novanta-madison?osq=Restaurants,Novanta,10,0,"8452 Old Sauk Rd Madison, WI 53562",(608) 831-7740,"Pizza,Italian,Mediterranean"
339,4.0,https://www.yelp.com/biz/dlux-madison?osq=Restaurants,DLUX,30,11,"117 Martin Luther King Jr Blvd Madison, WI 53703",(608) 467-3130,"Burgers,Cocktail Bars,Breakfast & Brunch"
255,4.5,https://www.yelp.com/biz/banzo-madison?osq=Restaurants,Banzo,10,0,"2105 Sherman Ave Madison, WI 53704",(608) 441-2002,"Mediterranean,Food Trucks"
187,4.0,https://www.yelp.com/biz/himal-chuli-madison?osq=Restaurants,Himal Chuli,30,11,"318 State St Madison, WI 53703",(608) 251-9225,Himalayan/Nepalese
86,4.0,https://www.yelp.com/biz/taqueria-sabor-queretano-madison?osq=Restaurants,Taqueria Sabor Queretano,10,0,"4512 E Washington Ave Madison, WI 53704",(608) 249-0877,Mexican
45,4.5,https://www.yelp.com/biz/laylas-persian-food-madison?osq=Restaurants,Layla’s Persian Food,10,0,"141 S Butler St Madison, WI 53703",(608) 216-4511,Persian/Iranian
273,4.0,https://www.yelp.com/biz/saigon-noodles-madison?osq=Restaurants,Saigon Noodles,10,0,"6754 Odana Rd Madison, WI 53719",(608) 827-9120,"Vietnamese,Noodles"
199,4.0,https://www.yelp.com/biz/takumi-japanese-restaurant-madison?osq=Restaurants,Takumi Japanese Restaurant,30,11,"4222 E Towne Blvd Madison, WI 53704",(608) 663-3899,"Japanese,Sushi Bars"
45,4.5,https://www.yelp.com/biz/estacion-inka-madison-2?osq=Restaurants,Estacion Inka,10,0,"604 University Ave Madison, WI 53715",(608) 467-3010,"Peruvian,Sandwiches,Salad"
25,4.0,https://www.yelp.com/biz/rising-sons-madison-3?osq=Restaurants,Rising Sons,10,0,"745 North High Point Rd Madison, WI 53717",(608) 841-1884,Thai
63,4.0,https://www.yelp.com/biz/red-madison-3?osq=Restaurants,RED,60,31,"316 West Washington Ave Ste 100 Madison, WI 53703",(608) 294-1234,"Sushi Bars,Desserts,Cocktail Bars"
90,4.0,https://www.yelp.com/biz/tobys-supper-club-madison?osq=Restaurants,Toby’s Supper Club,30,11,"3717 S Dutch Mill Rd Madison, WI 53718",(608) 222-6913,American (Traditional)
105,3.5,https://www.yelp.com/biz/estrell%C3%B3n-madison?osq=Restaurants,Estrellón,60,31,"313 W Johnson St Madison, WI 53703",(608) 251-2111,"Spanish,Tapas Bars"
140,4.5,https://www.yelp.com/biz/salvatores-tomato-pies-madison-2?osq=Restaurants,Salvatore’s Tomato Pies,30,11,"912 E Johnson St Madison, WI 53703",(608) 238-6040,"Pizza,American (New),Mexican"
176,4.5,https://www.yelp.com/biz/mediterranean-cafe-madison?osq=Restaurants,Mediterranean Cafe,10,0,"625 State St Madison, WI 53703",(608) 251-8510,"Greek,Mediterranean"
112,3.5,https://www.yelp.com/biz/doolittles-woodfire-grill-madison?osq=Restaurants,Doolittles Woodfire Grill,30,11,"4323 E Towne Blvd Madison, WI 53704",(608) 729-4980,"American (Traditional),Wine Bars"
152,4.0,https://www.yelp.com/biz/fresco-madison?osq=Restaurants,Fresco,60,31,"227 State St Madison, WI 53703",(608) 663-7374,American (New)
21,4.0,https://www.yelp.com/biz/porter-madison-2?osq=Restaurants,Porter,10,0,"640 W Washington Ave Ste 101 Madison, WI 53703",(608) 720-1110,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
16,4.5,https://www.yelp.com/biz/la-taguara-johnson-madison?osq=Restaurants,La Taguara Johnson,30,11,"827 E Johnson S Madison, WI 53703",(608) 721-1948,Venezuelan
374,4.0,https://www.yelp.com/biz/tornado-steak-house-madison?osq=Restaurants,Tornado,60,31,"116 S Hamilton St Madison, WI 53703",(608) 255-2831,Steakhouses
85,3.5,https://www.yelp.com/biz/field-table-madison?osq=Restaurants,Field Table,30,11,"10 W Mifflin St Madison, WI 53703",(608) 630-9222,"American (New),Cocktail Bars"
138,4.0,https://www.yelp.com/biz/naples-15-madison-4?osq=Restaurants,Naples 15,60,31,"15 N Butler St Madison, WI 53703",(608) 250-6330,Italian
418,4.0,https://www.yelp.com/biz/montys-blue-plate-diner-madison?osq=Restaurants,Monty’s Blue Plate Diner,10,0,"2089 Atwood Ave Madison, WI 53704",(608) 244-8505,"Diners,American (Traditional)"
224,4.0,https://www.yelp.com/biz/eno-vino-wine-bar-and-bistro-madison?osq=Restaurants,Eno Vino Wine Bar & Bistro,60,31,"601 Junction Rd Madison, WI 53717",(608) 664-9565,"Wine Bars,American (New),Tapas/Small Plates"
39,3.5,https://www.yelp.com/biz/off-broadway-drafthouse-madison?osq=Restaurants,Off Broadway Drafthouse,30,11,"5404 Raywood Rd Madison, WI 53713",(608) 630-9111,"Pubs,American (Traditional),Burgers"
244,4.0,https://www.yelp.com/biz/hopcat-madison?osq=Restaurants,HopCat,30,11,"222 W Gorham St Madison, WI 53703",(608) 807-1361,"American (Traditional),Pubs"
88,4.0,https://www.yelp.com/biz/wonder-bar-steakhouse-madison-2?osq=Restaurants,Wonder Bar Steakhouse,60,31,"222 E Olin Ave Madison, WI 53713",(608) 256-9430,"Steakhouses,Pubs"
190,4.0,https://www.yelp.com/biz/jacs-dining-and-tap-house-madison?osq=Restaurants,Jacs Dining and Tap House,30,11,"2611 Monroe St Madison, WI 53711",(608) 441-5444,"American (New),Gluten-Free"
64,4.0,https://www.yelp.com/biz/fast-biryani-madison?osq=Restaurants,Fast Biryani,10,0,"4738 E Washington Ave Madison, WI 53704",(608) 422-5099,Indian
95,4.5,https://www.yelp.com/biz/tienda-los-gemelos-madison?osq=Restaurants,Tienda Los Gemelos,10,0,"6713 Odana Rd Ste 8 Madison, WI 53719",(608) 441-0061,"Grocery,Mexican"
28,4.0,https://www.yelp.com/biz/zenzen-taste-%E5%9B%9B%E5%90%88%E9%99%A2-madison?osq=Restaurants,ZenZen Taste 四合院,30,11,"6634 Watts Rd Madison, WI 53719",(608) 316-0188,"Chinese,Asian Fusion"
108,3.5,https://www.yelp.com/biz/lucille-madison?osq=Restaurants,Lucille,30,11,"101 King St Madison, WI 53703",(608) 283-0000,"Pizza,American (New),Bars"
146,4.0,https://www.yelp.com/biz/olivers-public-house-madison?osq=Restaurants,Oliver’s Public House,30,11,"2540 University Ave Madison, WI 53705",(608) 819-8555,"American (New),Breakfast & Brunch"
290,3.5,https://www.yelp.com/biz/cafe-hollander-madison?osq=Restaurants,Cafe Hollander,30,11,"726 N Midvale Blvd Madison, WI 53705",(608) 237-3168,"American (Traditional),Belgian,Breakfast & Brunch"
72,4.0,https://www.yelp.com/biz/nonnos-ristorante-italiano-madison?osq=Restaurants,Nonno’s Ristorante Italiano,30,11,"704 S Whitney Way Madison, WI 53711",(608) 661-9254,Italian
69,4.0,https://www.yelp.com/biz/ottos-restaurant-and-bar-madison?osq=Restaurants,Otto’s Restaurant & Bar,60,31,"6405 Mineral Point Rd Madison, WI 53705",(608) 274-4044,"Mediterranean,Seafood,Bars"
20,4.5,https://www.yelp.com/biz/banzo-sh%C3%BCk-madison-2?osq=Restaurants,Banzo Shük,30,11,"1511 Williamson St Madison, WI 53703",(608) 441-0012,Mediterranean
153,4.0,https://www.yelp.com/biz/lombardinos-italian-restaurant-and-bar-madison?osq=Restaurants,Lombardinos Italian Restaurant and Bar,30,11,"2500 University Ave Madison, WI 53705",(608) 238-1922,"Italian,Bars"
189,4.5,https://www.yelp.com/biz/grampas-pizzeria-madison?osq=Restaurants,Grampa’s Pizzeria,30,11,"1374 Willamson St Madison, WI 53703",(608) 283-9580,"Pizza,Bars"
46,3.5,https://www.yelp.com/biz/five-star-korean-bbq-madison?osq=Restaurants,Five Star Korean BBQ,30,11,"605 E Washington Ave Madison, WI 53703",(608) 630-9840,"Barbeque,Korean"
506,4.0,https://www.yelp.com/biz/ha-long-bay-vietnamese-and-thai-bistro-madison?osq=Restaurants,Ha Long Bay Vietnamese & Thai Bistro,30,11,"1353 Williamson St Madison, WI 53703",(608) 255-2868,"Vietnamese,Thai"
137,4.0,https://www.yelp.com/biz/cafe-porta-alba-madison?osq=Restaurants,Cafe Porta Alba,30,11,"558 N Midvale Blvd Hilldale Mall Madison, WI 53705",(608) 441-0202,"Pizza,Italian"
41,4.0,https://www.yelp.com/biz/las-islas-del-mar-madison?osq=Restaurants,Las Islas Del Mar,30,11,"5696 Monona Dr Madison, WI 53716",(608) 298-7687,"Seafood,Mexican"
269,4.5,https://www.yelp.com/biz/pizza-brutta-madison?osq=Restaurants,Pizza Brutta,30,11,"1805 Monroe St Madison, WI 53711",(608) 257-2120,Pizza
88,4.5,https://www.yelp.com/biz/pat-o-malleys-jet-room-madison?osq=Restaurants,Pat O’Malley’s Jet Room,10,0,"3606 Corben Ct Madison, WI 53704",(608) 268-5010,"Diners,Breakfast & Brunch,American (Traditional)"
295,3.5,https://www.yelp.com/biz/umami-ramen-and-dumpling-bar-madison?osq=Restaurants,Umami Ramen & Dumpling Bar,30,11,"923 Williamson St Madison, WI 53703",(608) 819-6319,"Japanese,Chinese,Taiwanese"
45,4.5,https://www.yelp.com/biz/el-rancho-mexican-grill-madison?osq=Restaurants,El Rancho Mexican Grill,10,0,"819 S Park St Madison, WI 53715",(608) 284-9702,Mexican
14,4.0,https://www.yelp.com/biz/circ-madison?osq=Restaurants,CIRC,30,11,"1 W Dayton St The Madison Concourse Hotel And Governor's Club Madison, WI 53703",(608) 294-3031,"American (Traditional),Breakfast & Brunch"
31,4.5,https://www.yelp.com/biz/bowl-of-heaven-madison?osq=Restaurants,Bowl of Heaven,30,11,"717 Hilldale Way Madison, WI 53705",(608) 232-2233,"Juice Bars & Smoothies,Vegan,Gluten-Free"
33,4.5,https://www.yelp.com/biz/haldi-masala-madison?osq=Restaurants,Haldi Masala,30,11,"7475 Mineral Point Rd Madison, WI 53717",(608) 841-1619,Indian
78,4.0,https://www.yelp.com/biz/thai-basil-madison?osq=Restaurants,Thai Basil,30,11,"6714 Raymond Rd Madison, WI 53719",(608) 273-8890,Thai
14,4.5,https://www.yelp.com/biz/lake-vista-cafe-madison?osq=Restaurants,Lake Vista Cafe,10,0,"One John Nolen Dr Madison, WI 53703",(608) 261-4000,"American (Traditional),Seafood"
75,4.0,https://www.yelp.com/biz/om-indian-fusion-cuisine-madison?osq=Restaurants,OM Indian Fusion Cuisine,30,11,"3579 E Washington Ave Madison, WI 53704",(608) 467-2110,"Indian,Vegetarian,Asian Fusion"
50,4.0,https://www.yelp.com/biz/brothers-three-bar-and-grill-madison-2?osq=Restaurants,Brothers Three Bar & Grill,10,0,"614 N Fair Oaks Ave Madison, WI 53714",(608) 244-6818,"Burgers,American (Traditional),Bars"
219,4.0,https://www.yelp.com/biz/sushi-muramoto-madison?osq=Restaurants,Sushi Muramoto,30,11,"546 N Midvale Blvd Madison, WI 53705",(608) 441-1090,Sushi Bars
165,3.5,https://www.yelp.com/biz/sujeo-madison?osq=Restaurants,Sujeo,30,11,"10 N Livingston St Madison, WI 53703",(608) 630-9400,"Korean,Asian Fusion,Noodles"
74,4.0,https://www.yelp.com/biz/tip-top-tavern-madison?osq=Restaurants,Tip Top Tavern,30,11,"601 N North St Madison, WI 53704",(608) 241-5515,"American (New),Pubs"
150,4.0,https://www.yelp.com/biz/rare-steakhouse-madison?osq=Restaurants,Rare Steakhouse,6161,61,"14 W Mifflin St Madison, WI 53703",(608) 204-9000,Steakhouses
620,4.0,https://www.yelp.com/biz/the-great-dane-madison-3?osq=Restaurants,The Great Dane,30,11,"123 E Doty St Madison, WI 53703",(608) 284-0000,"Breweries,American (New),Pubs"
